,TAKER_STANDARD,MAKER_VIP,ZERO_FEE
2020-02-09 04:00:00,1058.9531672839755,1061.9538264091302,1063.0989656593104
2020-02-09 08:00:00,1058.1216212017625,1061.1168436363846,1062.2599080865089
2020-02-09 12:00:00,1057.5587981858998,1060.5503408550494,1061.6920009990868
2020-02-09 16:00:00,1056.5505202388024,1059.5354707355077,1060.67461511381
2020-02-09 20:00:00,1060.035310087422,1063.0430443172047,1064.1908836341604
2020-02-10 00:00:00,1057.258354015596,1060.2479323654961,1061.3888428678783
2020-02-10 04:00:00,1051.7533830037587,1054.7069695734992,1055.834144560308
2020-02-10 08:00:00,1045.066574290335,1047.9764421649788,1049.0869328195681
2020-02-10 12:00:00,1047.0432522252736,1049.9660437206826,1051.081466406794
2020-02-10 16:00:00,1045.434992254825,1048.3472688648383,1049.458678763267
2020-02-10 20:00:00,1046.444176519178,1049.3630512271843,1050.4769791527106
2020-02-11 00:00:00,1041.0769657302249,1043.9607493414078,1045.0612854784545
2020-02-11 04:00:00,1041.3737846315053,1044.259508859745,1045.3607855929965
2020-02-11 08:00:00,1044.1425838480288,1047.0464106262168,1048.1545958217796
2020-02-11 12:00:00,1060.6352921107732,1063.6469490535073,1064.7962853924105
2020-02-11 16:00:00,1064.3847265980917,1067.4208975339964,1068.5795891293908
2020-02-11 20:00:00,1063.2676905802962,1066.2965582779648,1067.452462744129
2020-02-12 00:00:00,1065.0766998229085,1068.1173949149133,1069.277813060545
2020-02-12 04:00:00,1069.74423369037,1072.8154453559382,1073.9875095182315
2020-02-12 08:00:00,1068.720095191296,1071.7846109873249,1072.95411981004
2020-02-12 12:00:00,1067.4131857084067,1070.469156863838,1071.6354048018877
2020-02-12 16:00:00,1067.3637914179646,1070.4194396310154,1071.5855643248112
2020-02-12 20:00:00,1067.9524444756184,1071.011941332267,1072.1795347809798
2020-02-13 00:00:00,1070.366873645117,1073.4421561623426,1074.615773880645
2020-02-13 04:00:00,1068.5188927605045,1071.5820930848186,1072.7510998850678
2020-02-13 08:00:00,1060.0063079352358,1063.013852547474,1064.161619500831
2020-02-13 12:00:00,1064.7110008101859,1067.749304943466,1068.9088106293457
2020-02-13 16:00:00,1064.501641524092,1067.538576855723,1068.6975601668746
2020-02-13 20:00:00,1063.5645094815764,1066.5953177963017,1067.751962858671
2020-02-14 00:00:00,1064.8818416129077,1067.9212627120357,1069.0811946647386
2020-02-14 04:00:00,1058.8222044405097,1061.8220073239404,1062.966819807245
2020-02-14 08:00:00,1065.3594708067235,1068.4020146697871,1069.5631383605057
2020-02-14 12:00:00,1064.4848746548596,1067.5217003638477,1068.6806418397937
