entry_date,entry,mode,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,adds,reason,asset
2023-10-23 00:00:00,30761.2794,STRONG_BULL_TREND,2023-11-14 16:00:00,35112.6402,359.5324,10.8584,136,True,1,be_stop,BTC
2023-11-15 20:00:00,37888.4866,STRONG_BULL_TREND,2023-11-16 16:00:00,35680.6924,-159.6825,-5.8271,5,False,0,risk_cap,BTC
2023-11-24 12:00:00,38251.6869,STRONG_BULL_TREND,2023-11-27 08:00:00,36951.2629,-88.0051,-3.3997,17,False,0,risk_cap,BTC
2023-12-01 08:00:00,38611.0341,STRONG_BULL_TREND,2023-12-11 00:00:00,41142.6249,147.8518,4.317,58,True,1,be_stop,BTC
2023-12-20 12:00:00,44062.4218,STRONG_BULL_TREND,2023-12-26 08:00:00,42345.5619,-103.0802,-3.8964,35,False,0,risk_cap,BTC
2024-01-01 20:00:00,44214.8936,STRONG_BULL_TREND,2024-01-03 12:00:00,41170.9215,-175.3879,-6.8845,10,False,0,risk_cap,BTC
2024-01-08 16:00:00,47016.9335,STRONG_BULL_TREND,2024-01-12 20:00:00,42659.2876,-220.6733,-9.2682,25,False,0,risk_cap,BTC
2024-01-28 04:00:00,42422.7311,TREND,2024-02-01 00:00:00,41982.0375,-21.3688,-1.0388,23,False,0,ema_exit,BTC
2024-02-08 12:00:00,45468.6458,TREND,2024-02-21 08:00:00,50924.7576,205.3841,10.0787,77,True,0,ema_exit,BTC
2024-02-26 12:00:00,52884.5939,STRONG_BULL_TREND,2024-03-19 04:00:00,63962.9823,519.4817,16.1352,130,True,1,be_stop,BTC
2024-03-25 12:00:00,69847.8836,STRONG_BULL_TREND,2024-04-02 08:00:00,65570.1918,-173.9082,-6.1243,47,False,0,risk_cap,BTC
2024-04-08 04:00:00,70755.1889,TREND,2024-04-09 12:00:00,68652.145,-75.3078,-2.9723,8,False,0,risk_cap,BTC
2024-05-17 12:00:00,67248.8561,STRONG_BULL_TREND,2024-05-23 12:00:00,68021.5392,72.7788,2.7961,36,True,0,be_stop,BTC
2024-06-03 12:00:00,69670.9722,STRONG_BULL_TREND,2024-06-10 04:00:00,69206.2751,-17.8221,-0.667,40,False,0,risk_cap,BTC
2024-07-15 00:00:00,62697.9883,TREND,2024-07-24 20:00:00,65215.3013,118.646,4.7169,59,True,0,be_stop,BTC
2024-07-27 12:00:00,68899.0752,STRONG_BULL_TREND,2024-07-31 16:00:00,65204.6245,-148.4133,-5.3621,25,False,0,risk_cap,BTC
2024-09-19 00:00:00,62167.6844,TREND,2024-09-30 00:00:00,64325.2146,101.2629,4.0691,66,True,0,be_stop,BTC
2024-10-07 00:00:00,63581.3344,STRONG_BULL_TREND,2024-10-09 16:00:00,60858.2822,-116.621,-4.2828,16,False,0,risk_cap,BTC
2024-10-14 00:00:00,64351.43,STRONG_BULL_TREND,2024-10-23 16:00:00,65266.8385,73.142,2.66,58,True,1,be_stop,BTC
2024-10-28 16:00:00,69685.684,STRONG_BULL_TREND,2024-10-31 12:00:00,70563.504,44.1654,1.2029,17,True,1,be_stop,BTC
2024-11-06 00:00:00,74408.0088,STRONG_BULL_TREND,2024-12-05 20:00:00,90831.8643,520.9936,13.945,179,True,1,be_stop,BTC
2024-12-15 20:00:00,104547.5612,STRONG_BULL_TREND,2024-12-19 00:00:00,98742.8903,-178.7033,-5.5522,19,False,0,risk_cap,BTC
2025-01-03 16:00:00,98670.8836,TREND,2025-01-07 12:00:00,97873.8982,-23.33,-0.8077,23,False,0,risk_cap,BTC
2025-01-14 08:00:00,96625.2784,TREND,2025-01-19 20:00:00,99617.8011,121.4067,4.2341,33,True,0,be_stop,BTC
2025-01-20 04:00:00,107206.3465,STRONG_BULL_TREND,2025-01-27 00:00:00,101314.5235,-109.06,-5.4958,41,False,0,risk_cap,BTC
2025-03-24 12:00:00,88420.69,TREND,2025-03-28 04:00:00,85144.8196,-106.6445,-3.7049,22,False,0,ema_exit,BTC
2025-04-02 12:00:00,86827.0761,TREND,2025-04-02 20:00:00,82450.277,-140.2616,-5.0408,2,False,0,risk_cap,BTC
2025-04-21 12:00:00,88115.2358,TREND,2025-05-04 16:00:00,95217.6776,197.7787,7.4457,79,True,0,be_stop,BTC
2025-05-08 00:00:00,99232.1122,STRONG_BULL_TREND,2025-05-12 16:00:00,100684.4807,42.7486,1.0446,28,True,1,be_stop,BTC
2025-05-18 12:00:00,105602.4144,STRONG_BULL_TREND,2025-05-30 00:00:00,104668.991,-33.3742,-1.0456,69,False,1,risk_cap,BTC
2025-06-09 16:00:00,108651.5718,STRONG_BULL_TREND,2025-06-13 00:00:00,104193.7982,-123.111,-4.1028,20,False,0,risk_cap,BTC
2025-07-02 16:00:00,109763.8809,STRONG_BULL_TREND,2025-07-20 20:00:00,117133.9182,177.9876,4.5154,109,True,1,be_stop,BTC
2025-08-07 08:00:00,116612.7456,STRONG_BULL_TREND,2025-08-14 12:00:00,118162.6442,66.7507,2.1866,43,True,0,be_stop,BTC
2025-09-12 16:00:00,116725.816,TREND,2025-09-19 16:00:00,115033.0199,-42.8135,-1.4502,42,False,0,ema_exit,BTC
2025-09-29 16:00:00,114356.9624,TREND,2025-10-07 12:00:00,121362.6411,160.6251,5.5128,47,True,0,be_stop,BTC
2025-10-26 20:00:00,114651.0475,TREND,2025-10-28 20:00:00,112122.03,-67.4592,-2.2058,12,False,0,risk_cap,BTC
2026-01-04 00:00:00,91309.7694,TREND,2026-01-06 16:00:00,91259.0934,-1.6636,-0.0555,16,False,0,risk_cap,BTC
2026-01-13 16:00:00,94302.2215,STRONG_BULL_TREND,2026-01-18 20:00:00,93598.2015,-23.6095,-0.7466,31,False,0,risk_cap,BTC
2026-03-13 08:00:00,72286.6031,TREND,2026-03-18 12:00:00,71410.6457,-36.0476,-1.2118,31,False,0,risk_cap,BTC
2026-04-06 08:00:00,69670.6019,TREND,2026-04-07 20:00:00,68983.721,-29.0082,-0.9859,9,False,0,risk_cap,BTC
2026-04-13 20:00:00,74477.5244,TREND,2026-04-19 04:00:00,75187.8989,27.8151,0.9538,32,False,0,risk_cap,BTC
2026-04-22 12:00:00,79336.3183,STRONG_BULL_TREND,2026-04-27 16:00:00,76453.5614,-112.8098,-3.6336,31,False,0,risk_cap,BTC
2026-05-04 00:00:00,80380.563,STRONG_BULL_TREND,2026-05-16 04:00:00,78249.3666,-79.4744,-2.6514,73,False,0,risk_cap,BTC
2026-07-06 20:00:00,64093.2536,TREND,2026-07-08 08:00:00,62250.15,-79.6034,-2.8757,9,False,0,ema_exit,BTC
2026-07-15 12:00:00,65479.9521,TREND,2026-07-17 00:00:00,63519.144,-80.7483,-2.9945,9,False,0,ema_exit,BTC
2026-07-21 12:00:00,66729.8812,TREND,2026-07-23 12:00:00,64906.3933,-71.7008,-2.7326,12,False,0,ema_exit,BTC
2026-08-17 16:00:00,64361.408,TREND,2026-08-19 12:00:00,66934.6017,102.3231,3.998,11,False,0,risk_cap,BTC
2026-08-20 08:00:00,71984.6117,STRONG_BULL_TREND,2026-08-24 20:00:00,78637.03,276.962,7.1826,27,True,1,end_of_test,BTC
