entry_date,entry,mode,dir,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,reason,asset
2020-07-06 20:00:00,241.79327999999998,TREND,LONG,2020-07-11 08:00:00,237.37183379261,-17.1956,-1.8286,27,False,risk_cap,ETH
2020-07-21 04:00:00,241.963416,STRONG_BULL_TREND,LONG,2020-07-22 20:00:00,246.93905400415622,20.0757,2.0564,10,False,risk_cap,ETH
2020-07-23 16:00:00,274.85971199999994,STRONG_BULL_TREND,LONG,2020-08-21 16:00:00,394.5391432476477,335.5355,33.7104,174,True,be_stop,ETH
2020-08-30 12:00:00,417.143448,STRONG_BULL_TREND,LONG,2020-09-02 08:00:00,432.7683001745042,78.1432,5.9465,17,True,be_stop,ETH
2020-10-09 08:00:00,359.3072159999999,TREND,LONG,2020-10-15 08:00:00,371.74807071982536,64.2283,4.8833,36,True,be_stop,ETH
2020-10-21 12:00:00,392.21351999999996,STRONG_BULL_TREND,LONG,2020-10-30 04:00:00,375.8018721302432,-60.6465,-4.1844,52,False,risk_cap,ETH
2020-11-05 12:00:00,414.51134399999995,STRONG_BULL_TREND,LONG,2020-11-26 08:00:00,485.3457184808932,217.6534,15.6389,125,True,be_stop,ETH
2020-11-30 20:00:00,617.1533279999999,STRONG_BULL_TREND,LONG,2020-12-08 08:00:00,573.330968,-113.5062,-7.1007,45,False,risk_cap,ETH
2020-12-13 16:00:00,592.343496,STRONG_BULL_TREND,LONG,2020-12-21 08:00:00,606.154688,67.4764,4.5265,46,True,be_stop,ETH
2020-12-26 16:00:00,645.4959839999999,STRONG_BULL_TREND,LONG,2021-02-22 12:00:00,1619.172512078706,1722.11,110.7618,347,True,be_stop,ETH
2021-03-03 08:00:00,1608.525792,TREND,LONG,2021-03-04 00:00:00,1553.835936,-68.518,-3.4,4,False,ema_exit,ETH
2021-03-08 20:00:00,1834.646544,STRONG_BULL_TREND,LONG,2021-03-22 16:00:00,1736.4697119999998,-167.2645,-5.3513,83,False,risk_cap,ETH
